img,Team,W,L,PCT,GB
<img src="https://fsorodrigues.github.io/table/logos/celtics.png" />,Boston Celtics,48,26,.649,—
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Cleveland Cavaliers,47,26,.644,0.5
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Washington Wizards,45,28,.616,2.5
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Toronto Raptors,45,29,.608,3.0
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Milwaukee Bucks,37,36,.507,10.5
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Atlanta Hawks,37,36,.507,10.5
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Indiana Pacers,37,36,.507,10.5
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Miami Heat,35,38,.479,12.5
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Chicago Bulls,35,39,.473,13.0
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Detroit Pistons,34,40,.459,14.0
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Charlotte Hornets,33,40,.452,14.5
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,New York Knicks,28,46,.378,20.0
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Philadelphia 76ers,27,46,.370,20.5
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Orlando Magic,27,47,.365,21.0
<img src="https://fsorodrigues.github.io/table/logos/placeholder.png" />,Brooklyn Nets,16,57,.219,31.5
