img,Team,W,L,PCT,GB
<img src="https://fsorodrigues.github.io/table/logos/warriors.png" />,Golden State Warriors,60,14,.811,—
<img src="https://fsorodrigues.github.io/table/logos/spurs.png" />,San Antonio Spurs,57,16,.781,2.5
<img src="https://fsorodrigues.github.io/table/logos/rockets.png" />,Houston Rockets,51,23,.689,9.0
<img src="https://fsorodrigues.github.io/table/logos/jazz.png" />,Utah Jazz,45,29,.608,15.0
<img src="https://fsorodrigues.github.io/table/logos/clippers.png" />,Los Angeles Clippers,44,31,.587,16.5
<img src="https://fsorodrigues.github.io/table/logos/thunder.png" />,Oklahoma City Thunder,42,31,.575,17.5
<img src="https://fsorodrigues.github.io/table/logos/grizzlies.png" />,Memphis Grizzlies,40,34,.541,20.0
<img src="https://fsorodrigues.github.io/table/logos/blazers.png" />,Portland Trail Blazers,36,38,.486,24.0
<img src="https://fsorodrigues.github.io/table/logos/nuggets.png" />,Denver Nuggets,35,39,.473,25.0
<img src="https://fsorodrigues.github.io/table/logos/mavericks.png" />,Dallas Mavericks,31,42,.425,28.5
<img src="https://fsorodrigues.github.io/table/logos/pelicans.png" />,New Orleans Pelicans,31,43,.419,29.0
<img src="https://fsorodrigues.github.io/table/logos/timberwolves.png" />,Minnesota Timberwolves ,29,44,.397,30.5
<img src="https://fsorodrigues.github.io/table/logos/kings.png" />,Sacramento Kings,29,45,.392,31.0
<img src="https://fsorodrigues.github.io/table/logos/suns.png" />,Phoenix Suns,22,53,.293,38.5
<img src="https://fsorodrigues.github.io/table/logos/lakers.png" />,Los Angeles Lakers,21,53,.284,39.0
